frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
190,1,2057.281507118937 1084.7887415588395 2544.651655654151 1510.7643088832017,2225.782470703125 1328.0927734375 2399.338623046875 1415.671875,0.29218804836273193,SF05JEO,0.14227436672314225
191,1,2057.2301663645144 1086.206979609466 2545.471192831285 1512.8197624204352,2225.980580357143 1330.4236153738839 2400.2514090401787 1417.9756556919642,0,0,0
192,1,2057.178825610092 1087.6252176600926 2546.2907300084184 1514.8752159576688,2226.1786900111606 1332.7544573102678 2401.164195033482 1420.2794363839287,0,0,0
193,1,2057.1274848556695 1089.0434557107192 2547.1102671855524 1516.9306694949023,2226.3767996651786 1335.0852992466519 2402.0769810267857 1422.583217075893,0,0,0
194,1,2057.0761441012473 1090.4616937613457 2547.929804362686 1518.986123032136,2226.5749093191966 1337.4161411830357 2402.9897670200894 1424.886997767857,0,0,0
195,1,2057.0248033468247 1091.8799318119723 2548.74934153982 1521.0415765693695,2226.773018973214 1339.7469831194196 2403.9025530133927 1427.1907784598213,0,0,0
196,1,2056.9734625924025 1093.2981698625988 2549.5688787169533 1523.0970301066031,2226.9711286272322 1342.0778250558035 2404.8153390066964 1429.4945591517858,0,0,0
197,1,2056.92212183798 1094.7164079132253 2550.3884158940873 1525.1524836438366,2227.16923828125 1344.4086669921876 2405.728125 1431.79833984375,0,0,0
198,1,2056.870781083557 1096.1346459638519 2551.207953071221 1527.2079371810703,2227.367347935268 1346.7395089285715 2406.6409109933034 1434.1021205357142,0,0,0
199,1,2056.819440329135 1097.5528840144784 2552.0274902483548 1529.2633907183038,2227.565457589286 1349.0703508649553 2407.553696986607 1436.4059012276787,0,0,0
200,1,2056.7680995747123 1098.971122065105 2552.8470274254882 1531.3188442555374,2227.7635672433034 1351.4011928013392 2408.466482979911 1438.709681919643,0,0,0
201,1,2056.71675882029 1100.3893601157315 2553.666564602622 1533.374297792771,2227.9616768973215 1353.7320347377233 2409.3792689732145 1441.013462611607,0,0,0
202,1,2056.6654180658675 1101.807598166358 2554.4861017797557 1535.4297513300046,2228.1597865513395 1356.0628766741072 2410.2920549665178 1443.3172433035713,0,0,0
203,1,2056.6140773114453 1103.2258362169846 2555.3056389568897 1537.485204867238,2228.357896205357 1358.393718610491 2411.2048409598215 1445.6210239955358,0,0,0
204,1,2056.5627365570226 1104.6440742676111 2556.125176134023 1539.5406584044717,2228.556005859375 1360.724560546875 2412.117626953125 1447.9248046875,0,0,0
205,1,2056.5113958026 1106.0623123182377 2556.944713311157 1541.5961119417052,2228.7541155133927 1363.0554024832588 2413.0304129464284 1450.2285853794642,0,0,0
206,1,2056.4600550481778 1107.4805503688642 2557.7642504882906 1543.651565478939,2228.9522251674107 1365.386244419643 2413.943198939732 1452.5323660714287,0,0,0
207,1,2056.408714293755 1108.8987884194908 2558.5837876654246 1545.7070190161724,2229.1503348214287 1367.7170863560268 2414.855984933036 1454.836146763393,0,0,0
208,1,2056.357373539333 1110.3170264701173 2559.403324842558 1547.762472553406,2229.3484444754463 1370.0479282924107 2415.768770926339 1457.139927455357,0,0,0
209,1,2056.3060327849103 1111.7352645207438 2560.222862019692 1549.8179260906395,2229.5465541294643 1372.3787702287946 2416.681556919643 1459.4437081473213,0,0,0
210,1,2056.254692030488 1113.1535025713704 2561.0423991968255 1551.8733796278732,2229.7446637834823 1374.7096121651787 2417.5943429129466 1461.7474888392858,0,0,0
211,1,2056.2033512760654 1114.571740621997 2561.8619363739595 1553.9288331651067,2229.9427734375 1377.0404541015625 2418.50712890625 1464.05126953125,0,0,0
212,1,2056.1520105216428 1115.9899786726235 2562.681473551093 1555.9842867023403,2230.140883091518 1379.3712960379464 2419.4199148995535 1466.3550502232142,0,0,0
213,1,2056.1006697672206 1117.40821672325 2563.501010728227 1558.0397402395738,2230.3389927455355 1381.7021379743303 2420.3327008928572 1468.6588309151787,0,0,0
214,1,2056.049329012798 1118.8264547738765 2564.3205479053604 1560.0951937768075,2230.5371023995535 1384.0329799107144 2421.2454868861605 1470.962611607143,0,0,0
215,1,2055.9979882583757 1120.244692824503 2565.1400850824944 1562.150647314041,2230.7352120535716 1386.3638218470983 2422.158272879464 1473.266392299107,0,0,0
216,1,2055.946647503953 1121.6629308751296 2565.959622259628 1564.2061008512746,2230.933321707589 1388.6946637834822 2423.071058872768 1475.5701729910713,0,0,0
217,1,2055.895306749531 1123.0811689257562 2566.779159436762 1566.261554388508,2231.131431361607 1391.025505719866 2423.9838448660716 1477.8739536830358,0,0,0
218,1,2055.843965995108 1124.4994069763827 2567.5986966138953 1568.3170079257418,2231.329541015625 1393.35634765625 2424.896630859375 1480.177734375,0,0,0
219,1,2055.7926252406855 1125.9176450270093 2568.4182337910293 1570.3724614629753,2231.5276506696428 1395.687189592634 2425.8094168526786 1482.4815150669642,0,0,0
220,1,2055.7412844862633 1127.3358830776358 2569.2377709681627 1572.427915000209,2231.725760323661 1398.018031529018 2426.7222028459823 1484.7852957589287,0,0,0
221,1,2055.6899437318407 1128.7541211282623 2570.0573081452967 1574.4833685374424,2231.9238699776784 1400.3488734654018 2427.6349888392856 1487.089076450893,0,0,0
222,1,2055.6386029774185 1130.1723591788889 2570.87684532243 1576.538822074676,2232.1219796316964 1402.6797154017856 2428.5477748325893 1489.392857142857,0,0,0
223,1,2055.587262222996 1131.5905972295154 2571.696382499564 1578.5942756119096,2232.3200892857144 1405.0105573381697 2429.460560825893 1491.6966378348213,0,0,0
224,1,2055.5359214685736 1133.008835280142 2572.5159196766976 1580.6497291491432,2232.518198939732 1407.3413992745536 2430.3733468191963 1494.0004185267858,0,0,0
225,1,2055.484580714151 1134.4270733307685 2573.3354568538316 1582.7051826863767,2232.71630859375 1409.6722412109375 2431.2861328125 1496.30419921875,0.2697470784187317,AF05JEO,0.1407127905642588
226,1,2055.9612988574454 1136.0915522779349 2575.8440914131024 1584.225760604257,2223.10400390625 1403.441650390625 2432.200927734375 1499.9525146484375,0.41108810901641846,AF05JEO,0.5110333274402507
227,1,2055.1120962587593 1136.238597617082 2576.487480217639 1585.1611779105563,2220.215087890625 1409.7357177734375 2433.8984375 1503.4556884765625,0.5072096586227417,AF05JEO,0.18545835028966948
228,1,2054.494021248322 1137.2472824052006 2577.365420020898 1587.3584841134912,2223.2867431640625 1411.5718994140625 2434.51904296875 1503.6315612792969,0,0,0
229,1,2053.875946237885 1138.2559671933193 2578.243359824157 1589.5557903164258,2226.3583984375 1413.4080810546875 2435.1396484375 1503.8074340820312,0,0,0
230,1,2053.257871227447 1139.264651981438 2579.1212996274153 1591.7530965193605,2229.4300537109375 1415.2442626953125 2435.76025390625 1503.9833068847656,0,0,0
231,1,2052.63979621701 1140.2733367695566 2579.999239430674 1593.9504027222954,2232.501708984375 1417.0804443359375 2436.380859375 1504.1591796875,0.401645690202713,AF05JEO,0.41730785988022784
232,1,2052.949489197576 1142.446811807035 2580.7135324088163 1596.749245773149,2231.6199079241073 1419.8636823381696 2437.507882254464 1507.687290736607,0,0,0
233,1,2053.2591821781425 1144.620286844513 2581.4278253869584 1599.5480888240024,2230.738106863839 1422.6469203404017 2438.6349051339284 1511.2154017857142,0,0,0
234,1,2053.5688751587086 1146.7937618819913 2582.1421183651005 1602.346931874856,2229.8563058035716 1425.4301583426338 2439.7619280133927 1514.7435128348213,0,0,0
235,1,2053.8785681392746 1148.9672369194693 2582.8564113432426 1605.1457749257095,2228.9745047433034 1428.2133963448662 2440.8889508928573 1518.2716238839287,0,0,0
236,1,2054.1882611198407 1151.1407119569476 2583.5707043213847 1607.944617976563,2228.092703683036 1430.9966343470983 2442.0159737723216 1521.7997349330358,0,0,0
237,1,2054.4979541004072 1153.3141869944257 2584.284997299527 1610.7434610274165,2227.2109026227677 1433.7798723493304 2443.142996651786 1525.327845982143,0,0,0
238,1,2054.8076470809733 1155.487662031904 2584.999290277669 1613.54230407827,2226.3291015625 1436.5631103515625 2444.27001953125 1528.85595703125,0.2875988483428955,AP05JEO,0.568046272034214
239,1,2053.8453725498603 1157.7527230051478 2585.6863222780216 1616.3660661478248,2226.599650065104 1438.4719340006511 2444.9725748697915 1531.2618815104167,0,0,0
240,1,2052.8830980187477 1160.017783978392 2586.3733542783743 1619.1898282173795,2226.8701985677085 1440.3807576497395 2445.6751302083335 1533.6678059895833,0,0,0
241,1,2051.9208234876346 1162.282844951636 2587.060386278727 1622.0135902869342,2227.1407470703125 1442.2895812988281 2446.377685546875 1536.07373046875,0,0,0
242,1,2050.958548956522 1164.5479059248798 2587.7474182790797 1624.8373523564892,2227.4112955729165 1444.1984049479167 2447.0802408854165 1538.4796549479167,0,0,0
243,1,2049.996274425409 1166.8129668981237 2588.4344502794324 1627.661114426044,2227.681844075521 1446.1072285970051 2447.7827962239585 1540.8855794270833,0,0,0
244,1,2049.0339998942964 1169.0780278713678 2589.1214822797847 1630.4848764955987,2227.952392578125 1448.0160522460938 2448.4853515625 1543.29150390625,0,0,0
245,1,2048.0717253631833 1171.3430888446119 2589.8085142801374 1633.3086385651534,2228.222941080729 1449.9248758951824 2449.1879069010415 1545.6974283854167,0,0,0
246,1,2047.1094508320705 1173.6081498178557 2590.49554628049 1636.1324006347081,2228.4934895833335 1451.8336995442708 2449.8904622395835 1548.1033528645833,0,0,0
247,1,2046.1471763009577 1175.8732107910996 2591.182578280843 1638.956162704263,2228.7640380859375 1453.7425231933594 2450.593017578125 1550.50927734375,0,0,0
248,1,2045.1849017698446 1178.1382717643437 2591.8696102811955 1641.7799247738178,2229.0345865885415 1455.651346842448 2451.2955729166665 1552.9152018229167,0,0,0
249,1,2044.2226272387318 1180.4033327375878 2592.556642281548 1644.6036868433725,2229.305135091146 1457.5601704915364 2451.9981282552085 1555.3211263020833,0,0,0
250,1,2043.260352707619 1182.6683937108317 2593.243674281901 1647.4274489129273,2229.57568359375 1459.468994140625 2452.70068359375 1557.72705078125,0.332596093416214,AP05JEO,0.22894376775426503
251,1,2044.8004617456277 1184.32787914607 2594.0492020099014 1649.384248157491,2224.26806640625 1475.335693359375 2442.531982421875 1556.873291015625,0.28494688868522644,AP05JEO,0.284420393086563
252,1,2046.6298745544811 1185.4061193161594 2595.0039744015057 1651.3162756871927,2225.855224609375 1469.7355143229167 2443.896484375 1556.7934977213542,0,0,0
253,1,2048.4592873633346 1186.484359486249 2595.95874679311 1653.2483032168943,2227.4423828125 1464.1353352864583 2445.260986328125 1556.7137044270833,0,0,0
