frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,5.0,[2197.166015625 1154.0797119140625 2785.6494140625 1736.55322265625],[2418.434814453125 1554.2451171875 2583.126708984375 1639.9366455078125],0.5895569324493408,WU51VSU,0.077398940027415
1,5.0,[2197.399255504529 1154.2834361009093 2785.5587380672478 1736.5469885077243],[2418.3662109375 1554.2783203125 2583.11865234375 1639.96435546875],0.5898126363754272,HU51VSU,0.11200310304397502
4,5.0,[2196.699723149971 1171.52906490807 2784.9978438981034 1751.7259831010258],[2412.275634765625 1562.2137451171875 2591.115478515625 1652.807373046875],0.6231557130813599,HU51KSU,0.16164796035957785
4,3.0,[749.085033419143 1380.2561255486225 1430.1693809989072 2000.7944569770402],[976.2614135742188 1776.2626953125 1187.2662353515625 1870.66748046875],0.444203644990921,NA13NRU,0.6471895560743492
5,5.0,[2194.0965917855897 1174.196585820066 2789.763796847679 1755.6258839039047],[2407.286865234375 1557.5614013671875 2590.87451171875 1649.4598388671875],0.6050571203231812,NU51VSU,0.29527587648355397
5,3.0,[746.8353493166383 1383.421311803608 1431.3384484895569 2007.0067994032909],[975.608154296875 1777.5999755859375 1193.401611328125 1880.3990478515625],0.5766848921775818,NA13NRU,0.5715153226581832
6,5.0,[2192.9396490579957 1176.756880204908 2788.9336837126384 1758.4378270660397],[2416.026123046875 1567.950439453125 2582.064697265625 1652.8740234375],0.5644360780715942,HU51NSU,0.1907137976739551
7,5.0,[2192.045182730587 1177.3985028463424 2788.412696423332 1759.2667091666287],[2415.949462890625 1567.8145751953125 2582.083251953125 1652.8487548828125],0.565231442451477,HU51VSU,0.5823598997655429
9,5.0,[2190.64847308722 1175.7444645160463 2792.2372793707673 1764.4548708904745],[2418.0712890625 1576.8065185546875 2591.13671875 1666.9757080078125],0.641749382019043,KU53YSU,0.42531646787973443
9,3.0,[737.1985843455896 1396.0504277470613 1425.6083199951076 2026.1469186279478],[948.8483276367188 1784.2039794921875 1194.8746337890625 1892.008056640625],0.5316657423973083,NA13NRU,0.652549791496991
10,5.0,[2188.893465300449 1177.7804343717287 2792.992526007638 1768.6962622537824],[2422.802490234375 1578.9539794921875 2592.556640625 1667.7520751953125],0.644278883934021,MU51YSU,0.35471905082018845
10,3.0,[736.5234298149641 1399.0683380713047 1430.5200336157895 2031.788794331855],[953.9649047851562 1791.1600341796875 1187.50732421875 1900.6087646484375],0.593591570854187,NA13NRU,0.4080552472973306
12,5.0,[2193.0720504128726 1172.650270366911 2807.0020006547725 1771.34934307165],[2418.544677734375 1585.815673828125 2588.575927734375 1676.0625],0.6432830691337585,AU51YSU,0.36595227581314066
13,5.0,[2192.415304447057 1169.9564943132514 2809.74784705556 1772.347502928811],[2418.519287109375 1585.717529296875 2588.67333984375 1675.86474609375],0.6430419087409973,AU51YSU,0.37632288530412733
14,3.0,[725.9480942733276 1407.0738087682303 1423.1740132607174 2052.1906607038945],[966.2332763671875 1807.8673095703125 1193.9696044921875 1915.0887451171875],0.5649021863937378,NA13NRU,0.822173001371529
15,5.0,[2191.47603816899 1183.1652308575976 2815.800258330844 1781.7328667212837],[2425.904541015625 1592.0386962890625 2582.74169921875 1677.1505126953125],0.5545307397842407,MU51VSU,0.40972500430725683
15,3.0,[723.0792675001494 1408.5604701159084 1418.818285937074 2053.382996630088],[957.1834716796875 1816.462646484375 1183.2967529296875 1916.039794921875],0.5351951122283936,NA13NRU,0.31589848501865375
